Date,Open,High,Low,Close,Adj Close,Volume
8/10/2020,259.140015,261.440002,244.539993,250,250,5714000
8/11/2020,245.479996,245.479996,230,231.039993,231.039993,9730500
8/12/2020,232.300003,239.399994,230.75,236.720001,236.720001,3932300
8/13/2020,238.149994,250.100006,238.149994,247.25,247.25,4749700
8/14/2020,249.440002,252.429993,242.399994,244.910004,244.910004,3662800
8/17/2020,248.699997,267.940002,248.509995,266.149994,266.149994,8959200
8/18/2020,271.720001,277.779999,265.5,276.799988,276.799988,6517000
8/19/2020,274.684998,279.589996,270.321991,273.51001,273.51001,4674000
8/20/2020,274.450012,290.880005,273.98999,290.690002,290.690002,9318400
8/21/2020,291,295.970001,286.944,289.679993,289.679993,5250100
8/24/2020,293,293.869995,274.105988,282.279999,282.279999,6463500
8/25/2020,279,293.721985,275.809998,290.440002,290.440002,4602900
8/26/2020,293,302,290.850006,295.269989,295.269989,5692100
8/27/2020,295.690002,301.519989,290.329987,294.679993,294.679993,5560600
8/28/2020,299.220001,303.579987,297.26001,299.269989,299.269989,5353400
8/31/2020,304.01001,325.899994,301.269989,325.100006,325.100006,21408100
